FID	IID
B00HYFL	B00HYFL
B00HYFM	B00HYFM
B00HYFN	B00HYFN
B00HYFO	B00HYFO
B00HYFP	B00HYFP
B00HYFQ	B00HYFQ
B00HYFR	B00HYFR
B00HYFS	B00HYFS
B00HYFT	B00HYFT
B00HYFU	B00HYFU
B00HYFV	B00HYFV
B00HYFW	B00HYFW
B00HYFX	B00HYFX
B00HYFY	B00HYFY
B00HYFZ	B00HYFZ
B00HYG0	B00HYG0
B00HYG1	B00HYG1
B00HYG2	B00HYG2
B00HYG3	B00HYG3
B00HYG4	B00HYG4
B00HYG5	B00HYG5
B00HYG6	B00HYG6
B00HYG7	B00HYG7
B00HYG8	B00HYG8
B00HYG9	B00HYG9
B00HYGA	B00HYGA
B00HYGB	B00HYGB
B00HYGC	B00HYGC
B00HYGD	B00HYGD
B00HYGE	B00HYGE
B00HYGF	B00HYGF
B00HYGG	B00HYGG
B00HYGH	B00HYGH
B00HYGI	B00HYGI
B00HYGJ	B00HYGJ
B00HYGK	B00HYGK
B00HYGL	B00HYGL
B00HYGM	B00HYGM
B00HYGN	B00HYGN
B00HYGO	B00HYGO
B00HYGP	B00HYGP
B00HYGQ	B00HYGQ
B00HYGR	B00HYGR
B00HYGS	B00HYGS
B00HYGT	B00HYGT
B00HYGU	B00HYGU
B00HYGV	B00HYGV
B00HYGW	B00HYGW
B00HYGX	B00HYGX
B00HYGY	B00HYGY
B00HYGZ	B00HYGZ
B00HYH0	B00HYH0
B00HYH1	B00HYH1
B00HYH2	B00HYH2
B00HYH3	B00HYH3
B00HYH4	B00HYH4
B00HYH5	B00HYH5
B00HYH6	B00HYH6
B00HYH7	B00HYH7
B00HYH8	B00HYH8
B00HYH9	B00HYH9
B00HYHA	B00HYHA
B00HYHB	B00HYHB
B00HYHC	B00HYHC
B00HYHD	B00HYHD
B00HYHE	B00HYHE
B00HYHF	B00HYHF
B00HYHG	B00HYHG
B00HYHH	B00HYHH
B00HYHI	B00HYHI
B00HYHJ	B00HYHJ
